airport,date,hour,temperature_2m,precipitation,snowfall,wind_speed_10m,wind_gusts_10m,cloud_cover
TUN,2016-04-28,8,17.4,0.0,0.0,12.2,24.8,98
TUN,2016-04-28,13,23.1,0.0,0.0,6.8,24.5,96
TUN,2016-04-28,16,23.6,0.0,0.0,13.1,25.2,96
TUN,2016-04-28,18,21.6,0.0,0.0,11.4,22.0,99
TUN,2016-04-29,6,15.8,0.0,0.0,14.6,24.1,61
TUN,2016-04-29,7,16.7,0.0,0.0,17.1,27.0,81
TUN,2016-04-30,4,14.1,0.0,0.0,5.9,9.4,88
TUN,2016-04-30,6,15.0,0.0,0.0,4.7,10.1,66
TUN,2016-04-30,7,15.8,0.0,0.0,4.6,13.3,30
TUN,2016-04-30,12,23.0,0.0,0.0,13.0,32.4,89
TUN,2016-04-30,20,18.8,0.0,0.0,18.7,38.9,52
TUN,2016-01-01,9,13.5,0.0,0.0,7.2,13.0,93
TUN,2016-01-01,10,14.3,0.0,0.0,6.8,14.0,84
TUN,2016-01-09,6,11.6,0.0,0.0,7.2,13.0,98
TUN,2016-01-09,10,15.4,0.0,0.0,8.5,16.6,84
TUN,2016-01-09,12,18.5,0.0,0.0,8.7,16.6,87
TUN,2016-01-09,7,11.6,0.0,0.0,7.5,13.3,98
TUN,2016-01-11,8,11.3,0.0,0.0,11.6,19.1,12
TUN,2016-01-12,12,18.4,0.0,0.0,23.6,42.5,19
TUN,2016-01-12,13,18.8,0.0,0.0,23.7,45.4,23
TUN,2016-01-16,20,8.3,0.4,0.0,31.5,67.3,78
TUN,2016-01-18,4,9.6,0.0,0.0,22.5,39.2,30
TUN,2016-01-21,15,15.1,0.0,0.0,8.4,18.0,82
TUN,2016-01-28,10,11.3,0.0,0.0,6.0,15.5,42
TUN,2016-01-28,12,14.2,0.0,0.0,6.8,16.6,83
TUN,2016-02-04,14,14.2,0.0,0.0,33.4,62.6,32
TUN,2016-02-06,18,15.8,0.0,0.0,17.9,32.4,98
TUN,2016-02-08,7,11.8,0.2,0.0,22.3,44.3,37
TUN,2016-02-09,12,17.1,0.0,0.0,12.4,25.2,0
TUN,2016-02-16,13,15.1,0.0,0.0,12.6,29.2,72
