airport,month,band,prob,label,wx_wind_gust,wx_precip,wx_snow,wx_adverse
CMN,4,rough,0.0824,Strong wind,44.6,0.0,0.0,1
CMN,4,severe,0.0046,Drizzle + strong wind,66.2,0.1,0.0,1
CMN,5,calm,0.8804,Overcast,21.2,0.0,0.0,0
CMN,5,rough,0.1165,Strong wind,45.0,0.0,0.0,1
CMN,5,severe,0.0031,Drizzle + strong wind,73.4,0.1,0.0,1
CMN,6,calm,0.9028,Clear,20.9,0.0,0.0,0
CMN,6,rough,0.0972,Strong wind,43.2,0.0,0.0,1
CMN,7,calm,0.9368,Clear,20.9,0.0,0.0,0
CMN,7,rough,0.0632,Strong wind,41.4,0.0,0.0,1
CMN,8,calm,0.9633,Partly cloudy,18.7,0.0,0.0,0
CMN,8,rough,0.0367,Strong wind,41.8,0.0,0.0,1
CMN,9,calm,0.975,Overcast,17.3,0.0,0.0,0
CMN,9,rough,0.025,Strong wind,42.5,0.0,0.0,1
CMN,10,calm,0.9297,Clear,17.3,0.0,0.0,0
CMN,10,rough,0.0677,Drizzle + strong wind,50.0,0.1,0.0,1
CMN,10,severe,0.0027,Drizzle + strong wind,75.6,1.1,0.0,1
CMN,11,calm,0.9083,Overcast,17.3,0.0,0.0,0
CMN,11,rough,0.0917,Drizzle,34.9,0.5,0.0,1
CMN,12,calm,0.9642,Partly cloudy,14.8,0.0,0.0,0
CMN,12,rough,0.0349,Drizzle,25.9,0.8,0.0,1
CMN,12,severe,0.0009,Rain + strong wind,61.2,6.6,0.0,1
DJE,1,calm,0.7643,Clear,25.6,0.0,0.0,0
DJE,1,rough,0.2294,Strong wind,45.7,0.0,0.0,1
DJE,1,severe,0.0063,Gale-force wind,65.5,0.0,0.0,1
DJE,2,calm,0.774,Overcast,23.4,0.0,0.0,0
DJE,2,rough,0.2201,Strong wind,46.4,0.0,0.0,1
DJE,2,severe,0.0059,Gale-force wind,64.8,0.0,0.0,1
DJE,3,calm,0.7446,Clear,25.9,0.0,0.0,0
DJE,3,rough,0.2236,Strong wind,46.8,0.0,0.0,1
DJE,3,severe,0.0318,Gale-force wind,68.0,0.0,0.0,1
DJE,4,calm,0.7019,Clear,27.4,0.0,0.0,0
DJE,4,rough,0.2847,Strong wind,47.9,0.0,0.0,1
DJE,4,severe,0.0134,Drizzle + strong wind,71.3,0.1,0.0,1
DJE,5,calm,0.7079,Clear,27.7,0.0,0.0,0
DJE,5,rough,0.2778,Strong wind,46.8,0.0,0.0,1
DJE,5,severe,0.0143,Gale-force wind,64.4,0.0,0.0,1
DJE,6,calm,0.8125,Clear,27.4,0.0,0.0,0
DJE,6,rough,0.1806,Strong wind,45.4,0.0,0.0,1
DJE,6,severe,0.0069,Gale-force wind,66.2,0.0,0.0,1
DJE,7,calm,0.8575,Clear,26.6,0.0,0.0,0
DJE,7,rough,0.1371,Strong wind,44.6,0.0,0.0,1
DJE,7,severe,0.0054,Gale-force wind,64.8,0.0,0.0,1
DJE,8,calm,0.9386,Clear,25.6,0.0,0.0,0
DJE,8,rough,0.0614,Strong wind,43.6,0.0,0.0,1
DJE,9,calm,0.8606,Clear,25.6,0.0,0.0,0
DJE,9,rough,0.1306,Strong wind,46.1,0.0,0.0,1
DJE,9,severe,0.0088,Gale-force wind,66.6,0.0,0.0,1
DJE,10,calm,0.8454,Overcast,22.3,0.0,0.0,0
DJE,10,rough,0.1452,Strong wind,45.4,0.0,0.0,1
DJE,10,severe,0.0094,Gale-force wind,71.3,0.0,0.0,1
DJE,11,calm,0.7949,Clear,22.7,0.0,0.0,0
DJE,11,rough,0.1866,Strong wind,46.4,0.0,0.0,1
DJE,11,severe,0.0185,Drizzle + strong wind,67.0,1.2,0.0,1
DJE,12,calm,0.8145,Overcast,24.5,0.0,0.0,0
DJE,12,rough,0.1841,Strong wind,45.7,0.0,0.0,1
DJE,12,severe,0.0013,Gale-force wind,66.2,0.0,0.0,1
FCO,1,calm,0.7917,Partly cloudy,20.2,0.0,0.0,0
FCO,1,rough,0.1846,Drizzle,27.4,0.6,0.0,1
